iter	RMSE
0	14.06407562
1	13.15144449
2	12.31455609
3	11.54617901
4	10.89665423
5	10.3366914
6	9.805218879
7	9.309584808
8	8.904804534
9	8.522350593
10	8.155457612
11	7.857435762
12	7.593617112
13	7.337441727
14	7.099103575
15	6.890377382
16	6.714896168
17	6.554478483
18	6.39638369
19	6.269379713
20	6.174247717
21	6.084495117
22	5.989195708
23	5.909061107
24	5.829631336
25	5.770718358
26	5.693982107
27	5.638839105
28	5.592435952
29	5.54527224
30	5.498326854
31	5.461987396
32	5.419229871
33	5.383300535
34	5.347602702
35	5.308642444
36	5.279978057
37	5.253349156
38	5.23073722
39	5.209059381
40	5.191787766
41	5.17791531
42	5.163043737
43	5.150413655
44	5.132365378
45	5.110342281
46	5.09266826
47	5.079862768
48	5.069474951
49	5.053801327
50	5.035004794
51	5.017883589
52	5.010205324
53	4.995015158
54	4.98463563
55	4.970222961
56	4.958883397
57	4.946780325
58	4.930851395
59	4.929984692
60	4.924622124
61	4.913606243
62	4.908212067
63	4.897459957
64	4.889770611
65	4.888500566
66	4.878741692
67	4.870409366
68	4.853039236
69	4.840343963
70	4.830181999
71	4.823421759
72	4.818885638
73	4.812461017
74	4.805659198
75	4.792517396
76	4.781849317
77	4.775995091
78	4.770908136
79	4.766683314
80	4.7623565
81	4.753929549
82	4.738938768
83	4.732209758
84	4.719299979
85	4.71199941
86	4.706018223
87	4.702053521
88	4.693915177
89	4.688641503
90	4.677568183
91	4.673164427
92	4.66573503
93	4.660673192
94	4.646056932
95	4.638398646
96	4.631263208
97	4.617286361
98	4.609783035
99	4.607394638
