iter	Passed	Remaining
0	111	110972
1	112	56017
2	113	37567
3	113	28330
4	114	22797
5	115	19101
6	116	16460
7	116	14484
8	117	12942
9	118	11705
10	118	10690
11	119	9848
12	120	9133
13	120	8518
14	121	7991
15	122	7554
16	124	7176
17	124	6818
18	125	6492
19	126	6193
20	127	5930
21	128	5691
22	128	5474
23	129	5271
24	130	5089
25	131	4922
26	132	4765
27	133	4621
28	133	4486
29	134	4356
30	135	4237
31	136	4127
32	137	4027
33	138	3930
34	139	3838
35	139	3747
36	140	3657
37	141	3577
38	141	3497
39	142	3422
40	143	3352
41	144	3287
42	146	3251
43	146	3189
44	147	3129
45	148	3072
46	148	3015
47	149	2961
48	149	2910
49	150	2863
50	151	2822
51	152	2778
52	153	2735
53	153	2692
54	154	2652
55	155	2612
56	155	2574
57	156	2538
58	156	2502
59	157	2469
60	158	2438
61	159	2407
62	159	2375
63	160	2345
64	161	2316
65	161	2288
66	162	2263
67	163	2238
68	164	2213
69	164	2188
70	165	2167
71	166	2146
72	167	2124
73	168	2103
74	168	2081
75	169	2060
76	170	2039
77	170	2019
78	171	2001
79	172	1981
80	173	1964
81	173	1947
82	174	1927
83	175	1909
84	175	1891
85	176	1873
86	176	1856
87	177	1839
88	178	1823
89	178	1808
90	179	1792
91	180	1781
92	181	1768
93	182	1755
94	182	1741
95	183	1728
96	184	1714
97	184	1700
98	185	1686
99	185	1673
100	186	1661
101	187	1648
102	187	1636
103	188	1625
104	189	1615
105	190	1605
106	191	1595
107	191	1583
108	192	1572
109	192	1561
110	193	1550
111	194	1539
112	194	1528
113	195	1518
114	196	1510
115	197	1501
116	197	1491
117	198	1482
118	199	1473
119	199	1463
120	200	1454
121	200	1444
122	201	1435
123	201	1426
124	202	1417
125	203	1410
126	203	1402
127	204	1394
128	205	1386
129	206	1379
130	206	1371
131	207	1363
132	207	1355
133	208	1348
134	209	1340
135	209	1332
136	210	1327
137	211	1321
138	212	1316
139	213	1309
140	213	1303
141	214	1295
142	215	1288
143	215	1282
144	216	1276
145	217	1269
146	217	1263
147	218	1257
148	219	1252
149	219	1246
150	220	1241
151	221	1235
152	221	1228
153	222	1222
154	223	1216
155	223	1210
156	224	1204
157	224	1198
158	225	1193
159	226	1190
160	227	1184
161	228	1179
162	228	1174
163	229	1169
164	230	1165
165	231	1160
166	231	1155
167	232	1150
168	233	1145
169	233	1141
170	234	1137
171	235	1132
172	236	1128
173	236	1123
174	237	1118
175	237	1113
176	238	1109
177	239	1104
178	239	1099
179	240	1095
180	241	1090
181	242	1087
182	242	1083
183	243	1078
184	244	1075
185	244	1071
186	245	1066
187	246	1062
188	246	1058
189	247	1054
190	247	1049
191	248	1046
192	249	1043
193	250	1040
194	251	1036
195	251	1032
196	252	1028
197	252	1024
198	253	1020
199	254	1016
200	254	1012
201	255	1009
202	256	1006
203	257	1003
204	257	1000
205	258	996
206	259	992
207	259	989
208	260	985
209	261	981
210	261	978
211	262	975
212	263	972
213	263	969
214	264	966
215	265	963
216	266	959
217	266	956
218	267	953
219	267	949
220	268	946
221	269	943
222	269	940
223	270	937
224	271	934
225	272	932
226	272	929
227	273	926
228	274	923
229	274	920
230	275	917
231	276	914
232	276	911
233	277	907
234	278	905
235	278	902
236	279	900
237	280	897
238	280	894
239	281	892
240	282	889
241	283	886
242	283	884
243	284	881
244	285	878
245	285	876
246	286	873
247	287	871
248	287	868
249	288	866
250	289	863
251	290	860
252	290	858
253	291	855
254	291	852
255	292	849
256	293	848
257	294	846
258	295	844
259	295	841
260	296	839
261	297	837
262	297	834
263	298	832
264	299	830
265	299	827
266	300	825
267	301	823
268	302	820
269	302	818
270	303	816
